date,ticker,open,high,low,close,volume
2024-07-30,AAPL,75.6989,76.5616,74.8362,75.6989,676507
2024-07-31,AAPL,74.8677,77.4332,74.2043,76.753,595985
2024-08-01,AAPL,76.8142,77.3069,74.4536,74.9343,745229
2024-08-02,AAPL,75.0564,75.7973,73.7407,74.4759,325296
2024-08-05,AAPL,74.1832,74.84,73.5183,74.175,954495
2024-08-06,AAPL,74.2935,75.122,71.8777,72.6883,1894641
2024-08-07,AAPL,72.0684,73.3209,71.503,72.7502,672977
2024-08-08,AAPL,73.1028,73.8723,72.8456,73.6133,279387
2024-08-09,AAPL,73.4193,76.8913,72.5767,76.0189,443181
2024-08-12,AAPL,76.972,77.6976,76.8005,77.5249,748212
2024-08-13,AAPL,77.4937,79.9488,76.5563,78.9933,140822
2024-08-14,AAPL,79.0689,82.1949,78.2246,81.3265,806012
2024-08-15,AAPL,81.4373,81.8461,80.6826,81.0897,1038436
2024-08-16,AAPL,81.0864,81.467,80.2599,80.6384,553626
2024-08-19,AAPL,80.6704,80.8254,79.798,79.9517,3217440
2024-08-20,AAPL,80.0393,80.4139,78.1375,78.505,279632
2024-08-21,AAPL,79.0922,79.2516,77.8207,77.9779,1087733
2024-08-22,AAPL,77.789,79.0895,77.0456,78.3408,497474
2024-08-23,AAPL,78.03,79.2299,77.8548,79.0524,607085
2024-08-26,AAPL,79.2585,79.8362,78.0215,78.5944,784961
2024-08-27,AAPL,78.4643,79.3781,78.2335,79.1452,686123
2024-08-28,AAPL,78.9833,79.6505,78.4688,79.1351,359049
2024-08-29,AAPL,78.5696,79.9038,77.8827,79.2112,730476
2024-08-30,AAPL,78.8138,80.8085,78.6104,80.6005,1581852
2024-09-02,AAPL,79.9767,82.0988,79.3063,81.4164,494656
2024-09-03,AAPL,81.6756,82.1185,80.7195,81.1597,584790
2024-09-04,AAPL,81.3594,82.9694,81.0033,82.6078,1340873
2024-09-05,AAPL,82.1107,85.1606,81.5704,84.6038,182180
2024-09-06,AAPL,85.0997,85.7212,83.6068,84.2219,2379684
2024-09-09,AAPL,83.8739,84.8192,82.5376,83.4785,710502
2024-09-10,AAPL,82.8879,84.8457,82.1249,84.0718,443479
2024-09-11,AAPL,84.5464,85.6941,81.8917,83.0186,453284
2024-09-12,AAPL,83.4589,83.539,82.6787,82.7582,411076
2024-09-13,AAPL,82.7031,83.5869,82.3332,83.2146,324179
2024-09-16,AAPL,82.9055,84.3561,82.84,84.2895,610439
2024-09-17,AAPL,83.9099,85.4409,83.8313,85.3609,309298
2024-09-18,AAPL,85.1572,85.5301,83.6671,84.0351,530502
2024-09-19,AAPL,84.4942,85.4197,84.4898,85.4152,908840
2024-09-20,AAPL,85.8356,86.8111,85.5585,86.5318,528380
2024-09-23,AAPL,86.2867,86.5476,85.8125,86.0728,904543
2024-09-24,AAPL,85.8359,86.2561,84.9094,85.3271,419468
2024-09-25,AAPL,85.1616,86.3924,84.7667,85.9936,1593364
2024-09-26,AAPL,86.3096,86.6841,85.1814,85.5526,1012417
2024-09-27,AAPL,85.002,87.0205,83.7947,85.8019,366463
2024-09-30,AAPL,85.8895,86.3648,85.4759,85.9508,321249
2024-10-01,AAPL,85.8074,88.0925,85.4464,87.7235,934639
2024-10-02,AAPL,87.2764,88.4707,86.5573,87.7477,639267
2024-10-03,AAPL,87.0073,87.4605,86.8946,87.3473,1130537
2024-10-04,AAPL,86.6815,88.102,85.7883,87.2033,756412
2024-10-07,AAPL,87.0194,89.3698,86.5365,88.8766,524616
2024-10-08,AAPL,89.0679,89.1622,88.8657,88.9599,857515
2024-10-09,AAPL,89.2662,89.497,88.4525,88.6817,858707
2024-10-10,AAPL,88.8436,90.6481,88.4862,90.2848,748863
2024-10-11,AAPL,89.7587,92.2736,89.5437,92.0531,1678008
2024-10-14,AAPL,91.9113,93.8803,90.7729,92.7319,752162
2024-10-15,AAPL,92.6226,93.727,92.1739,93.2751,2808967
2024-10-16,AAPL,92.4562,93.9417,92.1044,93.5856,973727
2024-10-17,AAPL,93.4088,93.9281,91.2185,91.7284,1510076
2024-10-18,AAPL,91.1317,92.2652,90.505,91.635,1573951
2024-10-21,AAPL,92.6686,92.8476,91.0443,91.2205,1105834
2024-10-22,AAPL,90.8554,91.7748,90.6091,91.5267,300367
2024-10-23,AAPL,91.3124,92.0461,90.7541,91.4867,361052
2024-10-24,AAPL,91.6545,92.4033,89.8118,90.5516,354850
2024-10-25,AAPL,90.5949,92.1174,90.019,91.5354,616486
2024-10-28,AAPL,91.4391,91.615,91.268,91.4439,734850
2024-10-29,AAPL,91.0238,92.3007,90.1397,91.4128,494757
2024-10-30,AAPL,91.0269,93.0709,90.6438,92.6808,569928
2024-10-31,AAPL,92.7704,93.4835,91.0888,91.7944,2434512
2024-11-01,AAPL,91.4872,92.0243,90.6327,91.168,479474
2024-11-04,AAPL,91.5178,92.7472,90.4404,91.668,1423314
2024-11-05,AAPL,91.5719,94.6306,91.3624,94.4147,546236
2024-11-06,AAPL,93.3525,94.9746,92.903,94.5194,149528
2024-11-07,AAPL,94.7415,94.8918,94.0493,94.1987,1170167
2024-11-08,AAPL,95.1142,96.946,94.3361,96.1593,602401
2024-11-11,AAPL,96.0613,97.4371,95.0818,96.4536,1159303
2024-11-12,AAPL,96.4142,97.2902,95.9739,96.8478,1354009
2024-11-13,AAPL,97.1221,97.1722,96.5394,96.5892,1079171
2024-11-14,AAPL,96.4527,96.7584,96.0347,96.3401,4186151
2024-11-15,AAPL,96.1634,99.9128,95.9111,99.6514,336893
2024-11-18,AAPL,99.0809,100.0453,98.4919,99.4541,516499
2024-11-19,AAPL,99.7933,101.2548,98.1298,99.5883,1475469
2024-11-20,AAPL,99.3002,100.247,97.1642,98.0995,1659967
2024-11-21,AAPL,98.6882,98.7768,98.5222,98.6107,1127025
2024-11-22,AAPL,98.526,98.8455,98.1458,98.4651,1221580
2024-11-25,AAPL,98.8294,99.2351,95.2081,95.6007,1255679
2024-11-26,AAPL,94.6779,95.6999,94.4197,95.4396,365701
2024-11-27,AAPL,94.9193,96.6319,94.8095,96.5202,1286006
2024-11-28,AAPL,96.3971,97.13,96.2363,96.9682,359766
2024-11-29,AAPL,96.6785,98.4596,96.5281,98.3066,1184818
2024-12-02,AAPL,98.4078,99.1245,97.745,98.4613,1528148
2024-12-03,AAPL,98.709,99.5232,95.8201,96.6171,535155
2024-12-04,AAPL,96.4105,96.9198,96.2482,96.7569,461094
2024-12-05,AAPL,95.9887,99.9274,93.918,97.8173,262712
2024-12-06,AAPL,98.0364,98.5149,95.9521,96.4227,1649598
2024-12-09,AAPL,96.4519,99.0764,96.1338,98.7507,660482
2024-12-10,AAPL,99.0631,99.4575,98.9627,99.3568,220138
2024-12-11,AAPL,99.1628,99.5854,98.6419,99.0641,2377383
2024-12-12,AAPL,98.879,99.9934,97.4943,98.6056,466354
2024-12-13,AAPL,98.1266,99.7687,97.9099,99.5489,1344334
2024-12-16,AAPL,99.4871,100.4742,98.9337,99.9184,1130557
2024-12-17,AAPL,100.069,101.4502,96.781,98.1355,108222
2024-12-18,AAPL,97.6103,99.4856,97.1135,98.9818,1267453
2024-12-19,AAPL,99.5311,99.6327,97.7713,97.8712,1001102
2024-12-20,AAPL,97.4839,98.8482,97.1224,98.4831,2119263
